GHCN_DIN;DATE;PRCP;SNOW;TMAX;TMIN;NAME;COORD;ELEVATION;COUNTRY_CODE
USW00094290;2015-01-16;3.0;0.0;12.2;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-27;30.0;0.0;10.6;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-28;0.0;0.0;12.2;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-30;0.0;0.0;11.7;1.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-05;206.0;0.0;13.3;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-09;58.0;0.0;13.3;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-12;5.0;0.0;16.7;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-17;0.0;0.0;16.7;4.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-27;178.0;0.0;10.6;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-02;0.0;0.0;10.6;3.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-06;0.0;0.0;16.1;3.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-14;132.0;0.0;16.1;10.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-03;5.0;0.0;12.8;5.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-06;0.0;0.0;13.3;7.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-08;0.0;0.0;17.8;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-11;8.0;0.0;13.3;6.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-16;0.0;0.0;17.2;4.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-11;0.0;0.0;16.1;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-15;0.0;0.0;20.0;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-28;0.0;0.0;26.1;12.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-23;0.0;0.0;26.1;12.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-26;0.0;0.0;30.6;17.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-28;0.0;0.0;27.8;18.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-29;3.0;0.0;31.7;18.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
